accession	sample_id	title	organism	source_name	characteristics	treatment_protocol	growth_protocol	extract_protocol	description	data_processing
GSE130400	GSM3737506	retina_177 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737507	retina_179 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737508	retina_183 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737509	retina_188 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737510	retina_197 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737511	retina_221 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737512	retina_228 P12 hyperoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737513	retina_2 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737514	retina_82 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737515	retina_90 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737516	retina_148 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737517	retina_200 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737518	retina_207 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737519	retina_233 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737520	retina_252 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737521	retina_267 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737522	retina_271 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737523	retina_272 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737524	retina_282 P12 normoxia	Mus musculus	Murine retina	age: day 12 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737525	retina_21 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737526	retina_29 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737527	retina_115 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737528	retina_123 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737529	retina_133 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737530	retina_155 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737531	retina_175 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737532	retina_182 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737533	retina_185 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737534	retina_190 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737535	retina_192 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737536	retina_195 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737537	retina_210 P17 hyperoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: hyperoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737538	retina_8 P17 normoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737539	retina_76 P17 normoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737540	retina_84 P17 normoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737541	retina_146 P17 normoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
GSE130400	GSM3737542	retina_202 P17 normoxia	Mus musculus	Murine retina	age: day 17 | strain: C57BL/6 | oxygen status: normoxia	mice were stabled and bred at 24°C on a 12:12 light/dark cycle; on postnatal day 7 (P7) pups were assigned within the litters (P12, P17, P28);  each litter was then randomized either to hyperoxia (75% oxygen) or normoxia (21% oxygen)	-	RNeasy Micro Kit (Qiagen, Hilden, Germany)		Feature Extraction Software (Agilent, Santa Clara, USA).
